recall_number,reason_for_recall,recalling_firm,distribution_pattern,report_date,termination_date,status
109-2017,Product Contamination,NA,Texas,2017-10-12,2017-11-16,Terminated
107-2017,"Misbranding, Unreported Allergens",NA,"Florida, Georgia",2017-10-05,2017-11-01,Terminated
106-2017,Product Contamination,NA,"New York, Pennsylvania",2017-10-04,2017-12-06,Terminated
105-2017,"Misbranding, Unreported Allergens",NA,Texas,2017-10-03,2017-10-27,Terminated
104-2017,Product Contamination,NA,"Alabama, Connecticut, Florida, Georgia, New York, North Carolina, Pennsylvania, South Carolina, Tennessee",2017-10-02,2018-02-28,Terminated
103-2017,"Misbranding, Unreported Allergens",NA,Michigan,2017-09-29,2018-02-28,Terminated
101-2017-EXP,"Misbranding, Unreported Allergens",America New York Ri Wang Food Group,NA,2017-09-27,2017-11-08,Terminated
102-2017,Product Contamination,NA,Washington,2017-09-17,2017-09-29,Terminated
101-2017,"Misbranding, Unreported Allergens",NA,NA,2017-09-15,2017-11-08,Terminated
100-2017,"Misbranding, Unreported Allergens",Northside Noodle Co,Michigan,2017-09-08,2017-09-18,Terminated
099-2017,"Misbranding, Unreported Allergens",NA,"Connecticut, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Ohio, Pennsylvania",2017-08-30,2017-11-16,Terminated
098-2017,"Misbranding, Unreported Allergens","Blossom Foods, LLC","California, Ohio",2017-08-26,2017-09-29,Terminated
097-2017,"Produced Without Benefit of Inspection, Import Violation",NA,Hawaii,2017-08-26,2017-09-22,Terminated
096-2017,"Misbranding, Unreported Allergens",NA,"Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Virginia, Washington",2017-08-25,2017-11-17,Terminated
095-2017,Product Contamination,NA,"Arizona, Connecticut, Florida, Illinois, Maryland, Michigan, Texas",2017-08-23,2017-10-23,Terminated
094-2017,Product Contamination,NA,"Illinois, Iowa, Wisconsin",2017-08-22,2017-10-06,Terminated
093-2017,"Misbranding, Unreported Allergens",Missa Bay LLC,"Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont",2017-08-15,2017-10-04,Terminated
092-2017,"Misbranding, Unreported Allergens",NA,"California, Florida, Indiana, Iowa, Missouri, North Carolina, Ohio, Pennsylvania, Texas, Virginia, Wisconsin",2017-08-12,2017-10-06,Terminated
091-2017,"Misbranding, Unreported Allergens",NA,"Connecticut, Delaware, Maryland, New Jersey, New York, Pennsylvania",2017-08-09,2017-10-19,Terminated
090-2017,Misbranding,"Corn Maiden Foods, Inc.",California,2017-08-09,2017-12-12,Terminated
089-2017,Product Contamination,"Good Food Concepts, LLC","Colorado, New York",2017-08-07,2017-08-29,Terminated
088-2017,"Misbranding, Unreported Allergens",NA,New Jersey,2017-08-05,2018-06-29,Terminated
087-2017,"Misbranding, Unreported Allergens",NA,"Arizona, California, Oregon",2017-08-02,2017-10-18,Terminated
086-2017,Product Contamination,"Plumrose USA, INC. a division of JBS USA FOOD CO.",North Carolina,2017-08-01,2017-09-18,Terminated
085-2017,"Misbranding, Unreported Allergens",NA,NA,2017-07-25,2017-08-16,Terminated
084-2017,"Misbranding, Unreported Allergens",NA,Wisconsin,2017-07-24,2018-03-23,Terminated
083-2017,Misbranding,Cesina Sausage Co.,Pennsylvania,2017-07-20,2017-09-15,Terminated
082-2017,Product Contamination,Marathon Enterprises Inc.,NA,2017-07-15,2017-11-09,Terminated
081-2017,"Misbranding, Unreported Allergens","Custom Culinary, Inc.",NA,2017-07-14,2017-08-29,Terminated
080-2017,"Misbranding, Unreported Allergens","WILLOW TREE POULTRY FARM, INC.","Connecticut, New Jersey, New York",2017-07-01,2017-07-26,Terminated
079-2017,Import Violation,NA,"Illinois, Indiana, Kansas, Minnesota, Missouri, Wisconsin",2017-06-28,2017-09-22,Terminated
078-2017,Product Contamination,"Overhill Farms, Inc.",NA,2017-06-24,2017-10-04,Terminated
077-2017,"Misbranding, Unreported Allergens",NA,NA,2017-06-24,2018-02-23,Terminated
076-2017,"Misbranding, Unreported Allergens",The Wornick Company,NA,2017-06-23,2018-02-16,Terminated
074-2017-EXP,"Misbranding, Unreported Allergens, Mislabeling",Embutidos Fanguito Inc.,Florida,2017-06-20,2017-07-26,Terminated
073-2017-EXP,"Misbranding, Unreported Allergens","Channel Fish Processing Co., Inc.",Indiana,2017-06-20,2017-07-06,Terminated
075-2017,Processing Defect,NA,NA,2017-06-17,2017-09-19,Terminated
074-2017,"Misbranding, Unreported Allergens, Mislabeling",Embutidos Fanguito Inc.,Florida,2017-06-16,2017-07-26,Terminated
073-2017,"Misbranding, Unreported Allergens","Channel Fish Processing Co., Inc.",Indiana,2017-06-16,2017-07-06,Terminated
072-2017,"Misbranding, Unreported Allergens",Golden Platter Foods Inc.,"Massachusetts, New Jersey, New York, Pennsylvania",2017-06-14,2018-11-08,Terminated
071-2017,"Misbranding, Unreported Allergens",Joseph Seviroli Inc.,"Missouri, New Jersey, Ohio, Rhode Island",2017-06-13,2017-10-18,Terminated
070-2017,Product Contamination,"OFD Foods, Inc.",NA,2017-06-13,2017-08-08,Terminated
069-2017,"Misbranding, Unreported Allergens","Packer Avenue Foods, Inc","Delaware, Maryland, New Jersey, Pennsylvania, Virginia",2017-06-10,2017-08-09,Terminated
068-2017,"Misbranding, Unreported Allergens","Gourmet Boutique, LLC",NA,2017-06-09,2017-11-14,Terminated
067-2017,"Misbranding, Unreported Allergens",Tyson Foods Inc.,NA,2017-06-09,2017-08-17,Terminated
066-2017,Product Contamination,NA,"Michigan, Ohio, Virginia, West Virginia",2017-06-09,2017-08-24,Terminated
065-2017,"Misbranding, Unreported Allergens","ConAgra Brands, Inc.",NA,2017-06-09,2017-11-28,Terminated
064-2017,"Misbranding, Unreported Allergens","Pork King Sausage, Inc.","Connecticut, Delaware, Florida, Georgia, Maryland, Massachusetts, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Virginia",2017-06-09,2017-10-16,Terminated
060-2017,"Misbranding, Unreported Allergens","Advance Pierre Foods, Inc.","California, Nebraska, New York, Ohio, Pennsylvania, Texas",2017-06-09,2017-08-24,Terminated
063-2017,"Misbranding, Unreported Allergens","Water Lilies Food, LLC","Connecticut, Delaware, Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Rhode Island, Virginia, District of Columbia",2017-06-08,2017-08-04,Terminated
062-2017,"Misbranding, Unreported Allergens",Aldon Food Corporation,"Connecticut, Delaware, Maryland, Massachusetts, New Jersey, New York, Ohio, Pennsylvania, Virginia",2017-06-08,2017-08-24,Terminated
061-2017,"Misbranding, Unreported Allergens","Maid-Rite Specialty Foods, Inc",NA,2017-06-08,2017-12-04,Terminated
059-2017,Product Contamination,"Creation Gardens, Inc","Indiana, Kentucky, Ohio, Tennessee",2017-06-05,2017-07-31,Terminated
058-2017,Product Contamination,"P&S Bakery, Inc","Ohio, Pennsylvania, Virginia, West Virginia",2017-06-02,2017-08-24,Terminated
053-2017,Product Contamination,Correctional Industries Food Factory,"Arizona, Idaho, Montana, Oregon, Washington",2017-06-02,2017-08-08,Terminated
057-2017,Product Contamination,"Readfield Meats, Inc.",Texas,2017-05-27,2017-10-27,Terminated
056-2017,Produced Without Benefit of Inspection,"Somi Foods, Inc",Washington,2017-05-26,2017-06-26,Terminated
055-2017,Product Contamination,"Golden Gourmet, LLC","Georgia, Illinois, Iowa, Ohio, South Carolina, Tennessee",2017-05-25,2017-07-20,Terminated
054-2017,Product Contamination,NA,"Arkansas, Indiana, Kansas, Louisiana, Oklahoma, Texas",2017-05-24,2017-08-09,Terminated
pha-051617-exp,Product Contamination,NA,"Michigan, California, Florida, Massachusetts",2017-05-20,NA,Ongoing
052-2017,Product Contamination,NA,NA,2017-05-19,2017-06-21,Terminated
051-2017,Produced Without Benefit of Inspection,"Yosemite Protein Products, Inc.","Arizona, California, Colorado, New York, Washington",2017-05-18,2017-06-20,Terminated
pha-051617,Product Contamination,NA,"Florida, Massachusetts",2017-05-16,NA,Ongoing
050-2017,Product Contamination,NA,"California, Illinois, Oregon, South Dakota",2017-05-13,2017-11-17,Terminated
049-2017,Product Contamination,NA,NA,2017-05-12,2017-08-31,Terminated
048-2017,Product Contamination,NY Livestock Market Inc.,New York,2017-05-11,2017-07-31,Terminated
047-2017,Product Contamination,"Kabobs Aquisition , LLC","Florida, Georgia, South Carolina, Texas",2017-05-10,2017-06-01,Terminated
pha-050917,Product Contamination,NA,NA,2017-05-09,NA,Ongoing
046-2017,"Misbranding, Unreported Allergens",Ford Brothers Wholesale Meats Inc,New York,2017-05-08,2017-06-28,Terminated
045-2017,Product Contamination,Perdue Foods LLC,"Connecticut, Maryland",2017-05-06,2017-06-20,Terminated
044-2017,Product Contamination,Marcho Farms Inc.,NA,2017-05-04,2017-06-13,Terminated
043-2017,"Misbranding, Unreported Allergens",NA,"Pennsylvania, Texas",2017-05-03,2017-11-17,Terminated
042-2017,Produced Without Benefit of Inspection,NA,"Indiana, Oklahoma",2017-05-03,2017-05-17,Terminated
041-2017,Product Contamination,Foster Farms,"Alaska, Arizona, California, Utah, Washington",2017-04-27,2017-06-26,Terminated
040-2017,Product Contamination,NA,NA,2017-04-27,2017-05-09,Terminated
039-2017,Product Contamination,NA,"Arkansas, Mississippi, Tennessee",2017-04-25,2017-05-17,Terminated
038-2017,Product Contamination,"Uncle John's Pride, LLC","Alabama, Florida, Georgia",2017-04-24,2017-06-19,Terminated
037-2017,Processing Defect,WFSP Foods LLC,Illinois,2017-04-24,2017-07-20,Terminated
036-2017,"Misbranding, Unreported Allergens",Campbell Soup Company,Florida,2017-04-22,2017-05-17,Terminated
pha-042017,Product Contamination,NA,NA,2017-04-20,NA,Ongoing
035-2017,"Misbranding, Unreported Allergens",Request Foods Inc.,NA,2017-04-20,2017-07-31,Terminated
034-2017,"Misbranding, Unreported Allergens",MIBO Fresh Foods LLC,"Louisiana, Oklahoma, Texas",2017-04-08,2017-04-26,Terminated
033-2017,"Misbranding, Unreported Allergens",Food Evolution,"Illinois, Minnesota, Wisconsin",2017-04-05,2017-05-05,Terminated
032-2017,Product Contamination,Lakes Farm Raised Catfish Inc,"Mississippi, Tennessee",2017-03-24,2017-06-01,Terminated
031-2017,Product Contamination,Ajinomoto Windsor Inc.,"California, Florida, Illinois, Missouri, New York, Ohio, Pennsylvania, Texas, Wyoming",2017-03-24,2017-07-20,Terminated
030-2017,Product Contamination,"OK Foods, Inc.",NA,2017-03-23,2017-10-13,Terminated
029-2017,"Misbranding, Unreported Allergens",Whiskey Hill Smokehouse LLC,NA,2017-03-22,2017-05-22,Terminated
028-2017,Produced Without Benefit of Inspection,NA,California,2017-03-21,2017-07-27,Terminated
027-2017,Product Contamination,H & B Packing Co. Inc.,Texas,2017-03-19,2017-11-01,Terminated
023-2017 EXP,Product Contamination,"King's Command Foods, LLC",NA,2017-03-17,2017-08-09,Terminated
026-2017,Product Contamination,Flagship Food Group,"Illinois, Pennsylvania",2017-03-16,2017-04-13,Terminated
025-2017,Product Contamination,"RBR Meat Co., Inc.","California, Nevada, Utah, Washington",2017-03-15,2017-04-25,Terminated
024-2017,"Misbranding, Unreported Allergens",Picone Meat Specialties LTD,New York,2017-03-09,2017-06-13,Terminated
023-2017,Product Contamination,"King's Command Foods, LLC",NA,2017-03-09,2017-08-09,Terminated
022-2017,Misbranding,Rochester Meat Company,"Indiana, Minnesota, North Dakota, South Dakota, Wisconsin",2017-03-06,2017-05-30,Terminated
021-2017,Product Contamination,"F.B. Packing Co., Inc.","Illinois, Massachusetts",2017-03-06,2017-03-31,Terminated
020-2017,Product Contamination,Ohio Farms Packing Co. Ltd.,"Illinois, Michigan, North Carolina, Ohio, Oklahoma, Pennsylvania, Texas",2017-03-02,2017-12-26,Terminated
019-2017,Produced Without Benefit of Inspection,NA,"Illinois, Iowa, Kansas, Missouri",2017-03-01,2017-03-28,Terminated
018-2017,"Misbranding, Unreported Allergens","Procesadora La Hacienda, Inc.",Puerto Rico,2017-03-01,2017-03-17,Terminated
017-2017,Processing Defect,Wayne Farms LLC,"Delaware, Georgia, Kentucky, Maryland, North Carolina, Pennsylvania, South Carolina, Tennessee, Virginia, West Virginia",2017-02-28,2017-03-31,Terminated
016-2017,Product Contamination,NA,Florida,2017-02-28,2017-07-24,Terminated
pha-022417,Product Contamination,JLM Manufacturing,"Illinois, West Virginia, Wisconsin, Tennessee, Pennsylvania, Indiana, Kentucky, Maryland, Michigan, Ohio",2017-02-24,NA,Ongoing
014-2017,"Misbranding, Unreported Allergens","Fratelli Beretta USA, Inc.","Arizona, California, Florida, Michigan, Nevada, New Jersey, Oklahoma, Pennsylvania, Texas",2017-02-22,2017-04-13,Terminated
015-2017,Product Contamination,"Ready Pac Produce, Inc.",NA,2017-02-22,2017-06-06,Terminated
013-2017,Misbranding,Century Packing Corp.,"Florida, Puerto Rico",2017-02-15,2017-08-04,Terminated
012-2017,Product Contamination,Taylor Farm - Pacific,Texas,2017-02-11,2017-04-25,Terminated
011-2017,"Misbranding, Unreported Allergens",Ukrop's Homestyle Foods,Virginia,2017-02-07,2017-02-16,Terminated
010-2017,Misbranding,Atlas Meat Company,"Colorado, Wyoming",2017-01-25,2017-04-28,Terminated
009-2017,Processing Defect,Hans Kissle Company LLC,NA,2017-01-20,2017-02-10,Terminated
008-2017,"Misbranding, Unreported Allergens","Mountain View Packaging, LLC",NA,2017-01-19,2017-02-28,Terminated
007-2017,Misbranding,"WILLOW TREE POULTRY FARM, INC.",NA,2017-01-18,2017-02-23,Terminated
006-2017,Misbranding,"Burger's Ozark Country Cured Hams, Inc.",NA,2017-01-18,2017-02-02,Terminated
005-2017,Produced Without Benefit of Inspection,NA,Michigan,2017-01-14,2017-01-27,Terminated
004-2017,"Misbranding, Unreported Allergens","Kettle Cuisine Midco, LLC","Connecticut, Maine, Massachusetts, New Jersey, Rhode Island",2017-01-12,2017-02-23,Terminated
003-2017,"Misbranding, Unreported Allergens",NA,NA,2017-01-10,2017-06-22,Terminated
002-2017,"Misbranding, Product Contamination",Schreiber Processing Corporation,"New Jersey, New York, Washington",2017-01-09,2017-10-11,Terminated
pha-010717,Product Contamination,NA,NA,2017-01-07,NA,Ongoing
pha-010617,Product Contamination,NA,"Colorado, New Mexico, Texas",2017-01-06,NA,Ongoing
001-2017,Misbranding,4G Meat Processing LLC,Missouri,2017-01-05,2017-10-11,Terminated
122-2016,NA,NA,Texas,2016-12-24,2017-07-20,Terminated
121-2016,NA,NA,NA,2016-12-23,2017-05-16,Terminated
120-2016,NA,NA,"Florida, Georgia, North Carolina, South Carolina, Virginia",2016-12-22,2017-05-01,Terminated
119-2016,NA,NA,"Arkansas, Illinois, Indiana, Iowa, Kentucky, Maryland, Michigan, North Carolina, Oklahoma, Pennsylvania, Texas, Wisconsin",2016-12-21,2017-07-20,Terminated
118-2016,NA,NA,"New Jersey, Pennsylvania",2016-12-15,2017-02-23,Terminated
117-2016,Misbranding,King Meat Service Inc.,California,2016-12-12,2017-02-14,Terminated
pha-120916,Product Contamination,"National Steak Processors, LLC.",NA,2016-12-09,NA,Ongoing
116-2016,NA,Taylor Farms Northwest LLC,"Oregon, Washington",2016-12-08,2016-12-22,Terminated
115-2016 EXP,NA,NA,NA,2016-12-04,2017-06-29,Terminated
115-2016,NA,NA,NA,2016-11-23,2017-06-29,Terminated
114-2016,NA,NA,Maryland,2016-11-23,2016-12-06,Terminated
113-2016,NA,"Hearty Acquisitions, LLC","Maryland, Massachusetts, New Jersey, New York, Vermont",2016-11-22,2017-01-24,Terminated
111-2016,NA,NA,NA,2016-11-22,2017-04-07,Terminated
112-2016,NA,"Omni Custom Meats, Inc.","Georgia, Missouri",2016-11-22,2016-12-12,Terminated
110-2016,NA,NA,"Florida, Iowa, Minnesota, Missouri, North Dakota",2016-11-18,2017-01-11,Terminated
109-2016,NA,"La Quercia, LLC","California, Colorado, Illinois, Indiana, Iowa, Massachusetts, New York, Oregon, Texas, Virginia",2016-11-17,2016-12-22,Terminated
108-2016,NA,NA,"North Carolina, South Carolina",2016-11-17,2016-12-22,Terminated
107-2016,NA,NA,California,2016-11-15,2017-02-23,Terminated
106-2016,NA,NA,"Illinois, Indiana, Missouri",2016-11-12,2016-11-28,Terminated
102-2016 EXP,NA,NA,"Kansas, Missouri",2016-11-09,2016-12-13,Terminated
105-2016,NA,NA,NA,2016-11-08,2017-02-10,Terminated
104-2016,NA,NA,"Iowa, Michigan, Wisconsin",2016-11-08,2017-02-10,Terminated
103-2016,NA,NA,"Kansas, Kentucky, Minnesota, North Carolina, Ohio, Wisconsin",2016-11-06,2016-12-08,Terminated
102-2016,NA,NA,Missouri,2016-11-03,2016-12-08,Terminated
101-2016,NA,NA,"California, Minnesota, New Jersey, New York, Washington",2016-10-26,2017-02-23,Terminated
100-2016,NA,NA,NA,2016-10-25,2017-01-12,Terminated
099-2016,NA,St. Clair Foods Inc.,"Alabama, Arkansas, Kentucky, Mississippi, Tennessee, Texas",2016-10-21,2016-12-13,Terminated
098-2016,NA,Brookwood Farms,NA,2016-10-21,2016-12-22,Terminated
097-2016,NA,NA,"Florida, Puerto Rico",2016-10-15,2016-11-28,Terminated
096-2016,NA,NA,"Illinois, Missouri",2016-10-15,2016-11-10,Terminated
095-2016,NA,NA,Louisiana,2016-10-14,2017-02-23,Terminated
094-2016,NA,NA,California,2016-10-12,2016-12-22,Terminated
pha-100916,Product Contamination,NA,Washington,2016-10-09,NA,Ongoing
093-2016,NA,NA,"California, Utah",2016-10-09,2017-03-08,Terminated
091-2016 EXP,NA,NA,NA,2016-10-07,2017-01-11,Terminated
092-2016,NA,NA,"Idaho, Utah",2016-10-03,2016-10-13,Terminated
091-2016,NA,"B & M Philly Steaks, Inc.",Virginia,2016-09-30,2017-01-11,Terminated
090-2016,NA,NA,Texas,2016-09-27,2016-10-06,Terminated
089-2016,NA,NA,Pennsylvania,2016-09-27,2016-11-04,Terminated
088-2016,NA,NA,NA,2016-09-24,2017-01-19,Terminated
087-2016,NA,Adams Farm Slaughterhouse LLC,"Connecticut, Massachusetts, New York",2016-09-24,2017-02-13,Terminated
086-2016,NA,NA,"Maryland, New York, Pennsylvania",2016-09-22,2017-04-12,Terminated
085-2016,NA,NA,"Alaska, Utah, Washington",2016-09-21,2016-10-19,Terminated
084-2016,NA,Speedy Foods LLC,"Colorado, Oklahoma",2016-09-20,2016-11-08,Terminated
083-2016,NA,NA,NA,2016-09-17,2016-11-30,Terminated
082-2016,NA,NA,Pennsylvania,2016-09-16,2016-11-10,Terminated
081-2016,NA,Tucson Tamale Wholesale Company LLC,NA,2016-09-16,2016-10-31,Terminated
080-2016,NA,NA,Pennsylvania,2016-09-10,2016-12-15,Terminated
079-2016,NA,NA,NA,2016-09-10,2017-08-04,Terminated
078-2016,NA,"Montshire Packing, LLC",Massachusetts,2016-09-09,2016-10-13,Terminated
077-2016,NA,NA,NA,2016-09-08,2017-06-15,Terminated
076-2016,NA,NA,California,2016-09-01,2016-10-14,Terminated
075-2016,NA,WFSP Foods LLC,NA,2016-08-26,2016-10-31,Terminated
074-2016,NA,NA,"Indiana, Pennsylvania, Texas",2016-08-25,2017-02-22,Terminated
073-2016,NA,NA,California,2016-08-24,2016-10-31,Terminated
072-2016,NA,NA,Florida,2016-08-21,2016-09-14,Terminated
071-2016,NA,NA,Texas,2016-08-10,2017-02-16,Terminated
070-2016 EXP,NA,NA,"California, Florida, Illinois, New Jersey, New York, Pennsylvania, California, Florida, Illinois, New Jersey, New York, Pennsylvania",2016-08-10,2016-11-07,Terminated
070-2016,NA,NA,"California, Florida, Illinois, New Jersey, New York, Pennsylvania",2016-08-06,2016-11-07,Terminated
069-2016,NA,Grossglockner Inc.,"Maryland, New Jersey, Pennsylvania, Virginia",2016-08-03,2017-03-02,Terminated
059-2016 EXP,NA,NA,NA,2016-08-01,2017-07-31,Terminated
068-2016,NA,NA,Arizona,2016-07-29,2016-11-04,Terminated
067-2016,NA,NA,NA,2016-07-28,2017-04-11,Terminated
066-2016,NA,NA,"Maine, New Jersey, New York, Pennsylvania",2016-07-27,2017-04-10,Terminated
065-2016,NA,NA,"Maine, Massachusetts, New Hampshire, Vermont",2016-07-26,2016-08-29,Terminated
064-2016,Product Contamination,"Good Food Concepts, LLC",Colorado,2016-07-26,2016-09-14,Terminated
063-2016,NA,"House Of Smoke, Inc.",NA,2016-07-22,2016-11-14,Terminated
062-2016,NA,NA,Washington,2016-07-21,2016-11-10,Terminated
pha-072016,Product Contamination,NA,NA,2016-07-20,NA,Ongoing
061-2016,NA,NA,NA,2016-07-19,2016-09-15,Terminated
056-2016 EXP,NA,NA,NA,2016-07-15,2016-09-14,Terminated
060-2016,NA,NA,"Arkansas, California, Louisiana, Mississippi, Oklahoma, Texas",2016-07-14,2016-09-30,Terminated
052-2016 EXP-2,NA,NA,"Puerto Rico, Louisiana, Mississippi, Texas, Connecticut, Georgia, Maryland, Pennsylvania, Tennessee",2016-07-14,2016-12-12,Terminated
059-2016,NA,NA,NA,2016-07-13,2017-07-31,Terminated
058-2016,NA,NA,NA,2016-07-12,2016-07-25,Terminated
057-2016,NA,NA,NA,2016-07-08,2017-01-11,Terminated
056-2016,NA,NA,"Arkansas, Illinois, Michigan, Minnesota, New York, Vermont, Wisconsin",2016-07-06,2016-09-14,Terminated
055-2016,NA,"Winter Gardens Quality Foods, Inc.","Maryland, Massachusetts, New Jersey, North Carolina, Pennsylvania, Virginia, Washington",2016-07-01,2016-07-25,Terminated
054-2016,NA,"GHSE, LLC","Alabama, Florida, Georgia, North Carolina, South Carolina, Tennessee, Virginia",2016-07-01,2016-08-30,Terminated
053-2016,NA,NA,"California, Colorado, Idaho, Louisiana, Nevada, Oklahoma, Oregon, Texas, Utah, Washington",2016-06-26,2016-08-22,Terminated
052-2016 EXP,NA,NA,"Louisiana, Mississippi, Texas, Connecticut, Georgia, Maryland, Pennsylvania, Tennessee",2016-06-25,2016-12-12,Terminated
052-2016,NA,NA,"Connecticut, Georgia, Maryland, Pennsylvania, Tennessee",2016-06-20,2016-12-12,Terminated
051-2016,NA,NA,NA,2016-06-18,2016-12-13,Terminated
050-2016,NA,NA,"New Jersey, New York",2016-06-17,2016-08-16,Terminated
049-2016,NA,NA,"New Jersey, New York",2016-06-14,2016-07-05,Terminated
048-2016,NA,NA,"New Jersey, New York",2016-06-13,2016-07-06,Terminated
047-2016,NA,NA,"Illinois, Minnesota",2016-06-04,2017-04-12,Terminated
046-2016,NA,NA,"Indiana, Ohio",2016-06-03,2016-09-14,Terminated
045-2016,Mislabeling,NA,Missouri,2016-05-27,2016-06-15,Terminated
044-2016,NA,"Taylor Farms Florida, Inc.",Florida,2016-05-26,2016-07-15,Terminated
043-2016,NA,NA,"Colorado, Idaho, Minnesota, Montana, Nebraska, New Mexico, South Dakota, Wyoming",2016-05-20,2016-10-14,Terminated
042-2016,NA,NA,NA,2016-05-19,2017-05-16,Terminated
041-2016,Misbranding,NA,"Connecticut, Maryland, New Jersey, New York, Ohio, Pennsylvania",2016-05-18,2016-07-26,Terminated
027-2016 expansion-3,NA,NA,NA,2016-05-13,2017-07-31,Terminated
040-2016,NA,Ajinomoto Windsor Inc.,NA,2016-05-11,2017-01-11,Terminated
039-2016,NA,NA,"Colorado, Georgia, Missouri, Utah",2016-05-10,2017-07-20,Terminated
038-2016,NA,King's Quality Meats LLC,"Idaho, Washington",2016-05-07,2016-05-25,Terminated
037-2016,NA,La Autentica Foods LLC,"Florida, New Jersey",2016-05-07,2016-09-08,Terminated
027-2016 expansion,NA,NA,NA,2016-05-06,2017-07-26,Terminated
036-2016,NA,NA,"Iowa, Nebraska",2016-05-05,2016-05-25,Terminated
035-2016,NA,NA,Indiana,2016-05-04,2016-08-31,Terminated
034-2016,NA,NA,"Arizona, California, Nevada, Utah",2016-05-04,2016-06-24,Terminated
033-2016,NA,NA,"Alaska, Arizona, California, Utah, Washington",2016-04-29,2017-06-29,Terminated
032-2016,NA,NA,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island",2016-04-29,2016-05-25,Terminated
027-2016 EXP,NA,NA,NA,2016-04-26,2017-07-26,Terminated
031-2016,NA,Meating Place Lorigo's Meating Place Inc.,NA,2016-04-21,2016-05-25,Terminated
030-2016,NA,NA,"Illinois, Iowa, Kentucky, Ohio",2016-04-16,2016-10-14,Terminated
029-2016,NA,NA,Texas,2016-04-14,2017-06-22,Terminated
028-2016,NA,Mountain Products Inc.,"California, New York",2016-04-12,2016-05-25,Terminated
027-2016,NA,NA,"Arizona, California, Colorado, Florida, Georgia, Kansas, Kentucky, Nebraska, North Carolina, Oklahoma, Tennessee, Texas, Utah",2016-04-07,2017-07-26,Terminated
026-2016,NA,NA,"North Carolina, Virginia, West Virginia",2016-04-06,2016-05-25,Terminated
025-2016,NA,NA,California,2016-03-22,2016-05-25,Terminated
024-2016,NA,NA,NA,2016-03-10,2016-06-15,Terminated
pha-030716,Product Contamination,NA,NA,2016-03-07,NA,Ongoing
023-2016,NA,NA,"Florida, Georgia, Indiana, Massachusetts, New York, Pennsylvania, Texas",2016-03-05,2016-05-25,Terminated
022-2016,NA,NA,"Arizona, Nevada",2016-03-03,2016-05-25,Terminated
021-2016,NA,NA,"Maryland, New Jersey, New York, Pennsylvania, Virginia",2016-02-25,2016-05-25,Terminated
020-2016,Misbranding,Ajinomoto Windsor Inc.,NA,2016-02-23,2016-05-25,Terminated
019-2016,Misbranding,NA,"Oklahoma, Texas",2016-02-19,2016-05-25,Terminated
018-2016,Product Contamination,"Winter Gardens Quality Foods, Inc.",Pennsylvania,2016-02-16,2016-05-25,Terminated
017-2016,Produced Without Benefit of Inspection,NA,California,2016-02-13,2017-04-12,Terminated
016-2016,Product Contamination,"McCain Foods USA, Inc.","Arkansas, Florida, Illinois, Indiana, Iowa, Kansas, Maine, Ohio, Oklahoma, Tennessee, Texas, Utah",2016-02-12,2016-06-20,Terminated
015-2016,Product Contamination,NA,"Louisiana, Texas",2016-02-09,2016-12-02,Terminated
014-2016,Misbranding,"Vosges, LTD","Florida, Georgia, North Carolina, South Carolina",2016-02-08,2016-05-25,Terminated
013-2016,Produced Without Benefit of Inspection,NA,California,2016-02-05,2017-06-15,Terminated
012-2016,Produced Without Benefit of Inspection,NA,California,2016-01-30,2017-06-19,Terminated
009-2016 expansion,NA,NA,California,2016-01-27,2017-06-19,Terminated
011-2016,Misbranding,"Berks Packing Co., Inc.","Delaware, Maryland, New Jersey, New York, Pennsylvania, Virginia, West Virginia",2016-01-25,2016-05-25,Terminated
010-2016,NA,NA,"Connecticut, Maine, Massachusetts, New Hampshire, New Jersey, New York, Rhode Island",2016-01-25,2016-05-25,Terminated
009-2016,NA,NA,California,2016-01-23,2017-06-19,Terminated
008-2016,Misbranding,NA,NA,2016-01-22,2017-03-02,Terminated
007-2016,NA,Snapps Ferry Packing Company,NA,2016-01-20,2016-12-12,Terminated
006-2016,NA,NA,NA,2016-01-16,2016-05-25,Terminated
005-2016,NA,NA,NA,2016-01-08,2016-05-25,Terminated
004-2016,NA,NA,NA,2016-01-06,2017-06-15,Terminated
003-2016,NA,NA,"Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Virginia",2016-01-05,2016-05-25,Terminated
002-2016,Product Contamination,NA,Louisiana,2016-01-05,2016-05-25,Terminated
001-2016,Product Contamination,Huisken Meat Company,NA,2016-01-04,2017-08-25,Terminated
150-2015,NA,NA,Utah,2015-12-31,2016-06-07,Terminated
149-2015,NA,"Bellisio Foods, Inc.",NA,2015-12-22,2016-08-22,Terminated
148-2015,NA,NA,"Kentucky, New Jersey",2015-12-19,2016-06-07,Terminated
147-2015,NA,NA,NA,2015-12-18,2016-06-07,Terminated
