case_number,recall_reason,establishment,states,date
091-2018,Produced Without Benefit of Inspection,"A La Carte Foods Properties, LLC","Louisiana, Texas","Mon, 10/15/2018 - Wed, 01/02/2019"
089-2018,Processing Defect,NA,Tennessee,"Thu, 10/11/2018 - Mon, 11/05/2018"
090-2018,Product Contamination,NA,"California, Connecticut, Maryland, Massachusetts, Michigan, North Carolina","Thu, 10/11/2018 - Fri, 05/01/2020"
088-2018,Product Contamination,"Malone's Fine Sausage, Inc.","Illinois, Michigan, Wisconsin","Wed, 10/10/2018 - Fri, 02/14/2020"
086-2018,"Misbranding, Unreported Allergens","Compass Group/Canteen, Compass Group/Canteen","Maryland, New Jersey, New York, Pennsylvania, Maryland, New Jersey, New York, Pennsylvania","Fri, 10/05/2018 - Wed, 11/07/2018, Fri, 10/05/2018 - Wed, 11/07/2018"
087-2018,Product Contamination,Ukrop's Homestyle Foods,"Kentucky, Ohio, Tennessee, Virginia, West Virginia","Fri, 10/05/2018 - Fri, 05/01/2020"
085-2018,Product Contamination,JBS Tolleson Inc.,NA,"Thu, 10/04/2018 - Tue, 04/16/2019"
084-2018,Product Contamination,NA,"Maryland, New York, North Carolina, South Carolina, Virginia","Wed, 10/03/2018 - Wed, 05/27/2020"
083-2018,Product Contamination,Junior's Smokehouse Processing Plant,Texas,"Fri, 09/21/2018 - Wed, 02/27/2019"
082-2018,Unfit for Human Consumption,Zweigle's Inc.,New York,"Thu, 09/20/2018 - Thu, 11/08/2018"
081-2018,Product Contamination,Cargill Meat Solutions,NA,"Wed, 09/19/2018 - Fri, 04/26/2019"
080-2018,Product Contamination,"BEF Foods, Inc.",Ohio,"Thu, 09/13/2018 - Thu, 08/13/2020"
079-2018,Produced Without Benefit of Inspection,NA,"Maryland, Massachusetts, Minnesota, New Jersey, New York","Wed, 09/12/2018 - Fri, 09/28/2018"
078-2018,NA,CTI Foods LLC.,Ohio,"Tue, 09/11/2018 - Wed, 10/24/2018"
077-2018,"Misbranding, Unreported Allergens","NEW YORK STYLE SAUSAGE CO., NEW YORK STYLE SAUSAGE CO.","NA, NA","Wed, 09/05/2018 - Mon, 10/29/2018, Wed, 09/05/2018 - Mon, 10/29/2018"
076-2018,Product Contamination,Wayne Farms LLC,NA,"Wed, 09/05/2018 - Thu, 12/13/2018"
075-2018,"Misbranding, Unreported Allergens","Caito Foods, LLC, Caito Foods, LLC","Illinois, Indiana, Kentucky, Ohio, Illinois, Indiana, Kentucky, Ohio","Wed, 09/05/2018 - Mon, 05/04/2020, Wed, 09/05/2018 - Mon, 05/04/2020"
074-2018,Produced Without Benefit of Inspection,"Bahar, LLC",New Jersey,"Tue, 09/04/2018 - Mon, 10/29/2018"
073-2018,Product Contamination,J T M Provisions Company,California,"Fri, 08/31/2018 - Mon, 11/05/2018"
072-2018,Product Contamination,"Publix Supermarkets, Inc., Deli Plant",Florida,"Thu, 08/30/2018 - Fri, 04/26/2019"
071-2018,Produced Without Benefit of Inspection,NA,Texas,"Wed, 08/29/2018 - Fri, 02/14/2020"
070-2018,"Misbranding, Unreported Allergens","Taylor Farms Illinois, Inc, Taylor Farms Illinois, Inc","Alabama, Arkansas, Kentucky, Mississippi, Ohio, Tennessee, Alabama, Arkansas, Kentucky, Mississippi, Ohio, Tennessee","Wed, 08/29/2018 - Thu, 12/13/2018, Wed, 08/29/2018 - Thu, 12/13/2018"
PHA-08242018-01,Product Contamination,NA,NA,"Fri, 08/24/2018 - Current"
069-2018,Product Contamination,Cargill Meat Solutions,"California, Colorado","Thu, 08/23/2018 - Fri, 04/26/2019"
068-2018,"Misbranding, Unreported Allergens","Taylor Farms Northwest LLC, Taylor Farms Northwest LLC","Oregon, Washington, Oregon, Washington","Tue, 08/21/2018 - Mon, 10/29/2018, Tue, 08/21/2018 - Mon, 10/29/2018"
067-2018,Mislabeling,Stone Ridge Wholesale Division LLC,Wisconsin,"Mon, 08/06/2018 - Tue, 10/02/2018"
066-2018,"Misbranding, Unreported Allergens","Star Natural Meats LLC, Star Natural Meats LLC","NA, NA","Fri, 08/03/2018 - Tue, 09/18/2018, Fri, 08/03/2018 - Tue, 09/18/2018"
065-2018,Product Contamination,"Van Oriental Food, Inc.",NA,"Fri, 08/03/2018 - Tue, 09/18/2018"
pha-07302018-1,Product Contamination,"Caito Foods, LLC",NA,"Mon, 07/30/2018 - Current"
pha-07202018-1,Product Contamination,NA,NA,"Fri, 07/20/2018 - Current"
064-2018,NA,NA,NA,"Wed, 07/18/2018 - Fri, 04/26/2019"
063-2018,NA,Smithfield Packaged Meats Corp.,NA,"Tue, 07/17/2018 - Fri, 03/01/2019"
062-2018,"Misbranding, Unreported Allergens","NA, NA","Oregon, Washington, Oregon, Washington","Mon, 07/16/2018 - Fri, 08/03/2018, Mon, 07/16/2018 - Fri, 08/03/2018"
061-2018,NA,NA,"Oregon, Washington","Sat, 07/14/2018 - Mon, 07/30/2018"
060-2018,Produced Without Benefit of Inspection,Afandina Halal,New York,"Mon, 07/09/2018 - Mon, 07/30/2018"
059-2018,Misbranding,"Tillamook Country Smoker, LLC","North Carolina, Utah","Fri, 07/06/2018 - Fri, 08/17/2018"
058-2018,Misbranding,"Nueske's Meat Products, Inc.",NA,"Mon, 07/02/2018 - Mon, 09/10/2018"
057-2018,Unreported Allergens,L&D Market Inc.,Massachusetts,"Fri, 06/29/2018 - Thu, 08/30/2018"
056-2018,Processing Defect,Aunt Kitty's Foods Inc,"New Jersey, New York","Tue, 06/26/2018 - Wed, 11/27/2019"
055-2018,Produced Without Benefit of Inspection,"People's Sausage Company, Inc.",Montana,"Mon, 06/25/2018 - Mon, 10/29/2018"
054-2018,Misbranding,"Land O'Frost, Inc.","Arizona, California, Oregon, Texas, Washington","Mon, 06/25/2018 - Tue, 07/31/2018"
053-2018,Produced Without Benefit of Inspection,The Quay Corporation,Texas,"Fri, 06/22/2018 - Fri, 03/01/2019"
052-2018,NA,"Agri Star Meat and Poultry, LLC","California, Florida, Illinois, New York, Washington","Thu, 06/21/2018 - Fri, 11/09/2018"
051-2018,Product Contamination,Texas Natural Meats,Texas,"Wed, 06/20/2018 - Thu, 01/24/2019"
050-2018,Misbranding,Winter Sausage Manufacturing Company Inc.,"Illinois, Michigan, Pennsylvania","Thu, 06/14/2018 - Fri, 09/28/2018"
046-2018-EXP,Produced Without Benefit of Inspection,NA,"Rhode Island, Massachusetts, Rhode Island","Wed, 06/13/2018 - Fri, 06/22/2018"
049-2018,Produced Without Benefit of Inspection,NA,Puerto Rico,"Wed, 06/13/2018 - Thu, 11/14/2019"
048-2018,Misbranding,J Bar B Foods,Texas,"Tue, 06/12/2018 - Fri, 09/28/2018"
047-2018,Product Contamination,NA,NA,"Fri, 06/08/2018 - Mon, 08/06/2018"
046-2018,Produced Without Benefit of Inspection,NA,"Massachusetts, Rhode Island","Fri, 06/08/2018 - Fri, 06/22/2018"
044-2018 Expansion,Produced Without Benefit of Inspection,NA,Puerto Rico,"Thu, 06/07/2018 - Tue, 01/08/2019"
045-2018,Product Contamination,"Goodman Food Products, Texas Inc.","Connecticut, Maine","Mon, 06/04/2018 - Thu, 07/12/2018"
044-2018,Produced Without Benefit of Inspection,NA,Puerto Rico,"Fri, 06/01/2018 - Tue, 01/08/2019"
043-2018,Product Contamination,"Eddy Packing Co., Inc.",Texas,"Thu, 05/31/2018 - Thu, 01/24/2019"
042-2018,Product Contamination,"Ruiz Food Products, Inc.",NA,"Thu, 05/31/2018 - Mon, 10/29/2018"
041-2018,Product Contamination,NA,Guam,"Sat, 05/26/2018 - Thu, 08/09/2018"
040-2018,Misbranding,Uno Foods Inc.,NA,"Wed, 05/23/2018 - Wed, 06/27/2018"
039-2018,NA,Hempler Foods Group LLC,"California, Oregon, Utah, Washington","Fri, 05/18/2018 - Mon, 07/02/2018"
038-2018,"Misbranding, Unreported Allergens","Kent Quality Foods Inc., Kent Quality Foods Inc.","NA, NA","Wed, 05/16/2018 - Thu, 08/01/2019, Wed, 05/16/2018 - Thu, 08/01/2019"
037-2018,"Misbranding, Unreported Allergens","Blount Fine Foods, Blount Fine Foods","Connecticut, Massachusetts, New Jersey, Connecticut, Massachusetts, New Jersey","Wed, 05/16/2018 - Thu, 06/28/2018, Wed, 05/16/2018 - Thu, 06/28/2018"
036-2018,Product Contamination,"Eddy Packing Co., Inc.","California, Georgia, Illinois, New Mexico, Oklahoma, Texas","Fri, 05/04/2018 - Thu, 04/04/2019"
035-2018,Product Contamination,"JBS Lenoir, Inc","Indiana, Virginia","Wed, 05/02/2018 - Fri, 06/01/2018"
034-2018,NA,NA,NA,"Sat, 04/28/2018 - Fri, 09/28/2018"
033-2018,Product Contamination,Fresh Food Manufacturing Company,"Indiana, Ohio, Pennsylvania, Virginia, West Virginia","Sat, 04/14/2018 - Wed, 05/30/2018"
032-2018,Product Contamination,Koch Foods,NA,"Wed, 04/11/2018 - Fri, 07/06/2018"
031-2018,Product Contamination,"ConAgra Brands, Inc.",NA,"Wed, 04/11/2018 - Thu, 09/13/2018"
030-2018,Product Contamination,J.T.M. Provisions Company,"Indiana, Kentucky, Ohio","Sat, 04/07/2018 - Wed, 05/30/2018"
029-2018,"Misbranding, Unreported Allergens","Good Foods Group, LLC, Good Foods Group, LLC","Illinois, Indiana, Kansas, Minnesota, Missouri, Nebraska, Wisconsin, Illinois, Indiana, Kansas, Minnesota, Missouri, Nebraska, Wisconsin","Tue, 04/03/2018 - Wed, 05/30/2018, Tue, 04/03/2018 - Wed, 05/30/2018"
028-2018,Produced Without Benefit of Inspection,"Patterson TMP Operating, LLC","Alabama, Arkansas, Indiana, Louisiana, Mississippi, Missouri, Oklahoma, Texas, Wisconsin","Sat, 03/31/2018 - Thu, 07/12/2018"
027-2018,NA,NA,Hawaii,"Thu, 03/29/2018 - Wed, 04/18/2018"
026-2018,Product Contamination,Tony Downs Foods Company,NA,"Wed, 03/28/2018 - Wed, 04/25/2018"
025-2018,Processing Defect,"California Jerky Factory, Inc.","California, Hawaii, Nevada","Wed, 03/21/2018 - Wed, 04/25/2018"
024-2018,Produced Without Benefit of Inspection,"Mickey Brown, Inc.",Louisiana,"Tue, 03/20/2018 - Fri, 01/25/2019"
023-2018,Product Contamination,"Stampede Meat, Inc.",NA,"Fri, 03/16/2018 - Fri, 12/13/2019"
022-2018,Product Contamination,Standard Meat Company,NA,"Thu, 03/15/2018 - Mon, 07/16/2018"
021-2018,Product Contamination,"Johnsonville, LLC",NA,"Thu, 03/15/2018 - Fri, 02/14/2020"
020-2018,Product Contamination,Heartland Catfish Company,"Alabama, Arizona, Arkansas, Colorado, Illinois, Texas, Vermont","Fri, 03/09/2018 - Fri, 06/01/2018"
019-2018,Product Contamination,"Interstate Meat Dist., Inc.","Oregon, Utah, Washington","Sat, 03/03/2018 - Fri, 04/26/2019"
018-2018,Product Contamination,OLLI SALUMERIA AMERICANA,NA,"Fri, 03/02/2018 - Thu, 05/31/2018"
017-2018,Produced Without Benefit of Inspection,NA,"Kansas, Missouri","Fri, 03/02/2018 - Wed, 02/27/2019"
016-2018,Unreported Allergens,J Bar B Foods,"Arizona, California, Colorado, Utah, Virginia","Thu, 03/01/2018 - Wed, 05/30/2018"
015-2018,Unreported Allergens,Sensenig Turkey Farm LLC,"Maryland, Massachusetts, New Jersey, Pennsylvania","Thu, 03/01/2018 - Wed, 05/30/2018"
013-2018,Product Contamination,NA,"Illinois, Iowa, Minnesota, Nebraska, South Dakota","Wed, 02/21/2018 - Wed, 04/25/2018"
014-2018,Unreported Allergens,A & A Finest,New York,"Wed, 02/21/2018 - Thu, 03/15/2018"
012-2018,Unreported Allergens,"Night Hawk Frozen Foods, Inc.","Louisiana, Texas","Tue, 02/20/2018 - Wed, 05/30/2018"
011-2018,Product Contamination,Pilgrim's Pride Corporation,NA,"Fri, 02/16/2018 - Wed, 05/30/2018"
pha-02142018-07,Product Contamination,NA,"Iowa, Illinois, Minnesota, Nebraska, South Dakota","Wed, 02/14/2018 - Current"
010-2018,Unreported Allergens,Saker Shoprites Inc,New Jersey,"Wed, 02/14/2018 - Wed, 04/11/2018"
008-2018,Produced Without Benefit of Inspection,NA,"Oregon, Washington","Tue, 02/06/2018 - Fri, 07/06/2018"
009-2018,NA,"Guymon Extracts, Inc",NA,"Tue, 02/06/2018 - Wed, 05/30/2018"
007-2018,Unreported Allergens,"Whip City Jerky, LLC","Connecticut, Massachusetts","Thu, 02/01/2018 - Fri, 03/23/2018"
pha-012418-01,Produced Without Benefit of Inspection,"Pigeon Caterers, Inc",Louisiana,"Wed, 01/24/2018 - Current"
006-2018,Product Contamination,NA,"Alabama, Florida, Louisiana, Mississippi, North Carolina, South Carolina, Tennessee, Texas, Virginia","Wed, 01/24/2018 - Wed, 05/16/2018"
005-2018,Unreported Allergens,Perdue Foods LLC,"Florida, Maryland, Washington","Tue, 01/23/2018 - Fri, 02/23/2018"
004-2018,Unreported Allergens,CAFE SPICE LLC,NA,"Thu, 01/18/2018 - Fri, 03/23/2018"
003-2018,Misbranding,DiscoverFresh Foods,"Alabama, Georgia, North Carolina, South Carolina, Tennessee, Virginia","Thu, 01/18/2018 - Wed, 02/28/2018"
002-2018,Processing Defect,Crescent City Meats,NA,"Fri, 01/05/2018 - Thu, 01/24/2019"
001-2018,Product Contamination,Hempler Foods Group LLC,Washington,"Thu, 01/04/2018 - Mon, 12/03/2018"
131-2017,Product Contamination,NA,Texas,"Tue, 12/26/2017 - Tue, 07/24/2018"
130-2017,"Misbranding, Unreported Allergens","NA, NA","Texas, Texas","Thu, 12/21/2017 - Mon, 04/09/2018, Thu, 12/21/2017 - Mon, 04/09/2018"
129-2017,Product Contamination,NA,"California, Illinois, Michigan, New Jersey, New York","Sat, 12/16/2017 - Fri, 01/26/2018"
128-2017,Product Contamination,"Santa Fe Importers, Inc.",California,"Tue, 12/12/2017 - Tue, 01/23/2018"
127-2017,"Misbranding, Unreported Allergens","NA, NA","Massachusetts, North Carolina, Utah, Virginia, Washington, Massachusetts, North Carolina, Utah, Virginia, Washington","Fri, 12/01/2017 - Fri, 01/26/2018, Fri, 12/01/2017 - Fri, 01/26/2018"
126-2017,"Misbranding, Unreported Allergens","Caesar's Pasta, LLC, Caesar's Pasta, LLC","Pennsylvania, Pennsylvania","Fri, 12/01/2017 - Thu, 04/05/2018, Fri, 12/01/2017 - Thu, 04/05/2018"
pha-112017,Product Contamination,Productos Dany Inc.,NA,"Mon, 11/20/2017 - Current"
125-2017,Product Contamination,NA,"Arizona, California, Colorado, Idaho, Louisiana, Nevada, New Mexico, Oklahoma, Oregon, Texas, Utah, Washington","Sat, 11/18/2017 - Wed, 02/28/2018"
123-2017,"Produced Without Benefit of Inspection, Import Violation","NA, NA","Puerto Rico, Puerto Rico","Thu, 11/16/2017 - Wed, 02/28/2018, Thu, 11/16/2017 - Wed, 02/28/2018"
124-2017,"Misbranding, Unreported Allergens","Missa Bay LLC, Missa Bay LLC","Indiana, New Jersey, Indiana, New Jersey","Thu, 11/16/2017 - Wed, 02/28/2018, Thu, 11/16/2017 - Wed, 02/28/2018"
122-2017,Product Contamination,Texas Natural Meats,Texas,"Wed, 11/15/2017 - Thu, 01/24/2019"
121-2017,Product Contamination,NA,California,"Tue, 11/14/2017 - Tue, 12/26/2017"
120-2017,Produced Without Benefit of Inspection,NA,"Iowa, North Dakota, South Dakota","Mon, 11/13/2017 - Wed, 12/06/2017"
119-2017,Product Contamination,NA,NA,"Thu, 11/09/2017 - Tue, 12/19/2017"
118-2017,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Wed, 11/08/2017 - Fri, 12/08/2017, Wed, 11/08/2017 - Fri, 12/08/2017"
117-2017,Produced Without Benefit of Inspection,NA,Ohio,"Thu, 11/02/2017 - Tue, 12/26/2017"
116-2017,Product Contamination,NA,"Colorado, New Mexico, Utah, Wyoming","Wed, 11/01/2017 - Tue, 11/28/2017"
pha-103117,Product Contamination,Ghiringhelli Brothers,"Arizona, California, Nevada, Utah","Tue, 10/31/2017 - Current"
115-2017,Product Contamination,"Taylor Farms Florida, Inc.",Florida,"Sat, 10/28/2017 - Tue, 11/28/2017"
pha-102517,Product Contamination,"Mary's Harvest Fresh Foods, Inc.","Oregon, Washington","Wed, 10/25/2017 - Current"
114-2017,Product Contamination,NA,"Indiana, Ohio, Pennsylvania","Fri, 10/20/2017 - Thu, 11/16/2017"
113-2017,"Misbranding, Unreported Allergens","NA, NA","Delaware, Florida, New Jersey, New York, Pennsylvania, Delaware, Florida, New Jersey, New York, Pennsylvania","Wed, 10/18/2017 - Tue, 12/12/2017, Wed, 10/18/2017 - Tue, 12/12/2017"
112-2017,Product Contamination,NA,"Illinois, Wisconsin","Tue, 10/17/2017 - Thu, 11/16/2017"
111-2017,"Misbranding, Unreported Allergens","GB Green Gastronome, LLC, GB Green Gastronome, LLC","Ohio, Pennsylvania, Ohio, Pennsylvania","Tue, 10/17/2017 - Tue, 11/28/2017, Tue, 10/17/2017 - Tue, 11/28/2017"
110-2017,Product Contamination,"Battistoni Italian Specialty Meats, LLC","Maryland, Massachusetts, New Jersey, New York, Pennsylvania, Virginia","Fri, 10/13/2017 - Thu, 03/01/2018"
108-2017,Product Contamination,NA,NA,"Fri, 10/13/2017 - Thu, 01/18/2018"
109-2017,Product Contamination,NA,Texas,"Thu, 10/12/2017 - Thu, 11/16/2017"
107-2017,"Misbranding, Unreported Allergens","NA, NA","Florida, Georgia, Florida, Georgia","Thu, 10/05/2017 - Wed, 11/01/2017, Thu, 10/05/2017 - Wed, 11/01/2017"
106-2017,Product Contamination,NA,"New York, Pennsylvania","Wed, 10/04/2017 - Wed, 12/06/2017"
105-2017,"Misbranding, Unreported Allergens","NA, NA","Texas, Texas","Tue, 10/03/2017 - Fri, 10/27/2017, Tue, 10/03/2017 - Fri, 10/27/2017"
104-2017,Product Contamination,NA,"Alabama, Connecticut, Florida, Georgia, New York, North Carolina, Pennsylvania, South Carolina, Tennessee","Mon, 10/02/2017 - Wed, 02/28/2018"
103-2017,"Misbranding, Unreported Allergens","NA, NA","Michigan, Michigan","Fri, 09/29/2017 - Wed, 02/28/2018, Fri, 09/29/2017 - Wed, 02/28/2018"
101-2017-EXP,"Misbranding, Unreported Allergens","America New York Ri Wang Food Group, America New York Ri Wang Food Group","NA, NA","Wed, 09/27/2017 - Wed, 11/08/2017, Wed, 09/27/2017 - Wed, 11/08/2017"
102-2017,Product Contamination,NA,Washington,"Sun, 09/17/2017 - Fri, 09/29/2017"
101-2017,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Fri, 09/15/2017 - Wed, 11/08/2017, Fri, 09/15/2017 - Wed, 11/08/2017"
100-2017,"Misbranding, Unreported Allergens","Northside Noodle Co, Northside Noodle Co","Michigan, Michigan","Fri, 09/08/2017 - Mon, 09/18/2017, Fri, 09/08/2017 - Mon, 09/18/2017"
099-2017,"Misbranding, Unreported Allergens","NA, NA","Connecticut, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Ohio, Pennsylvania, Connecticut, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Ohio, Pennsylvania","Wed, 08/30/2017 - Thu, 11/16/2017, Wed, 08/30/2017 - Thu, 11/16/2017"
098-2017,"Misbranding, Unreported Allergens","Blossom Foods, LLC, Blossom Foods, LLC","California, Ohio, California, Ohio","Sat, 08/26/2017 - Fri, 09/29/2017, Sat, 08/26/2017 - Fri, 09/29/2017"
097-2017,"Produced Without Benefit of Inspection, Import Violation","NA, NA","Hawaii, Hawaii","Sat, 08/26/2017 - Fri, 09/22/2017, Sat, 08/26/2017 - Fri, 09/22/2017"
096-2017,"Misbranding, Unreported Allergens","NA, NA","Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Virginia, Washington, Connecticut, Delaware, Maine, Maryland, Massachusetts, New Hampshire, New Jersey, New York, Pennsylvania, Rhode Island, Vermont, Virginia, Washington","Fri, 08/25/2017 - Fri, 11/17/2017, Fri, 08/25/2017 - Fri, 11/17/2017"
095-2017,Product Contamination,NA,"Arizona, Connecticut, Florida, Illinois, Maryland, Michigan, Texas","Wed, 08/23/2017 - Mon, 10/23/2017"
094-2017,Product Contamination,NA,"Illinois, Iowa, Wisconsin","Tue, 08/22/2017 - Fri, 10/06/2017"
093-2017,"Misbranding, Unreported Allergens","Missa Bay LLC, Missa Bay LLC","Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont, Connecticut, Maine, Massachusetts, New Hampshire, New York, Rhode Island, Vermont","Tue, 08/15/2017 - Wed, 10/04/2017, Tue, 08/15/2017 - Wed, 10/04/2017"
092-2017,"Misbranding, Unreported Allergens","NA, NA","California, Florida, Indiana, Iowa, Missouri, North Carolina, Ohio, Pennsylvania, Texas, Virginia, Wisconsin, California, Florida, Indiana, Iowa, Missouri, North Carolina, Ohio, Pennsylvania, Texas, Virginia, Wisconsin","Sat, 08/12/2017 - Fri, 10/06/2017, Sat, 08/12/2017 - Fri, 10/06/2017"
091-2017,"Misbranding, Unreported Allergens","NA, NA","Connecticut, Delaware, Maryland, New Jersey, New York, Pennsylvania, Connecticut, Delaware, Maryland, New Jersey, New York, Pennsylvania","Wed, 08/09/2017 - Thu, 10/19/2017, Wed, 08/09/2017 - Thu, 10/19/2017"
090-2017,Misbranding,"Corn Maiden Foods, Inc.",California,"Wed, 08/09/2017 - Tue, 12/12/2017"
089-2017,Product Contamination,"Good Food Concepts, LLC","Colorado, New York","Mon, 08/07/2017 - Tue, 08/29/2017"
088-2017,"Misbranding, Unreported Allergens","NA, NA","New Jersey, New Jersey","Sat, 08/05/2017 - Fri, 06/29/2018, Sat, 08/05/2017 - Fri, 06/29/2018"
087-2017,"Misbranding, Unreported Allergens","NA, NA","Arizona, California, Oregon, Arizona, California, Oregon","Wed, 08/02/2017 - Wed, 10/18/2017, Wed, 08/02/2017 - Wed, 10/18/2017"
086-2017,Product Contamination,"Plumrose USA, INC. a division of JBS USA FOOD CO.",North Carolina,"Tue, 08/01/2017 - Mon, 09/18/2017"
085-2017,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Tue, 07/25/2017 - Wed, 08/16/2017, Tue, 07/25/2017 - Wed, 08/16/2017"
084-2017,"Misbranding, Unreported Allergens","NA, NA","Wisconsin, Wisconsin","Mon, 07/24/2017 - Fri, 03/23/2018, Mon, 07/24/2017 - Fri, 03/23/2018"
083-2017,Misbranding,Cesina Sausage Co.,Pennsylvania,"Thu, 07/20/2017 - Fri, 09/15/2017"
082-2017,Product Contamination,Marathon Enterprises Inc.,NA,"Sat, 07/15/2017 - Thu, 11/09/2017"
081-2017,"Misbranding, Unreported Allergens","Custom Culinary, Inc., Custom Culinary, Inc.","NA, NA","Fri, 07/14/2017 - Tue, 08/29/2017, Fri, 07/14/2017 - Tue, 08/29/2017"
080-2017,"Misbranding, Unreported Allergens","WILLOW TREE POULTRY FARM, INC., WILLOW TREE POULTRY FARM, INC.","Connecticut, New Jersey, New York, Connecticut, New Jersey, New York","Sat, 07/01/2017 - Wed, 07/26/2017, Sat, 07/01/2017 - Wed, 07/26/2017"
079-2017,Import Violation,NA,"Illinois, Indiana, Kansas, Minnesota, Missouri, Wisconsin","Wed, 06/28/2017 - Fri, 09/22/2017"
078-2017,Product Contamination,"Overhill Farms, Inc.",NA,"Sat, 06/24/2017 - Wed, 10/04/2017"
077-2017,"Misbranding, Unreported Allergens","NA, NA","NA, NA","Sat, 06/24/2017 - Fri, 02/23/2018, Sat, 06/24/2017 - Fri, 02/23/2018"
076-2017,"Misbranding, Unreported Allergens","The Wornick Company, The Wornick Company","NA, NA","Fri, 06/23/2017 - Fri, 02/16/2018, Fri, 06/23/2017 - Fri, 02/16/2018"
074-2017-EXP,"Misbranding, Unreported Allergens, Mislabeling","Embutidos Fanguito Inc., Embutidos Fanguito Inc., Embutidos Fanguito Inc.","Florida, Florida, Florida","Tue, 06/20/2017 - Wed, 07/26/2017, Tue, 06/20/2017 - Wed, 07/26/2017, Tue, 06/20/2017 - Wed, 07/26/2017"
073-2017-EXP,"Misbranding, Unreported Allergens","Channel Fish Processing Co., Inc., Channel Fish Processing Co., Inc.","Indiana, Indiana","Tue, 06/20/2017 - Thu, 07/06/2017, Tue, 06/20/2017 - Thu, 07/06/2017"
075-2017,Processing Defect,NA,NA,"Sat, 06/17/2017 - Tue, 09/19/2017"
074-2017,"Misbranding, Unreported Allergens, Mislabeling","Embutidos Fanguito Inc., Embutidos Fanguito Inc., Embutidos Fanguito Inc.","Florida, Florida, Florida","Fri, 06/16/2017 - Wed, 07/26/2017, Fri, 06/16/2017 - Wed, 07/26/2017, Fri, 06/16/2017 - Wed, 07/26/2017"
073-2017,"Misbranding, Unreported Allergens","Channel Fish Processing Co., Inc., Channel Fish Processing Co., Inc.","Indiana, Indiana","Fri, 06/16/2017 - Thu, 07/06/2017, Fri, 06/16/2017 - Thu, 07/06/2017"
072-2017,"Misbranding, Unreported Allergens","Golden Platter Foods Inc., Golden Platter Foods Inc.","Massachusetts, New Jersey, New York, Pennsylvania, Massachusetts, New Jersey, New York, Pennsylvania","Wed, 06/14/2017 - Thu, 11/08/2018, Wed, 06/14/2017 - Thu, 11/08/2018"
071-2017,"Misbranding, Unreported Allergens","Joseph Seviroli Inc., Joseph Seviroli Inc.","Missouri, New Jersey, Ohio, Rhode Island, Missouri, New Jersey, Ohio, Rhode Island","Tue, 06/13/2017 - Wed, 10/18/2017, Tue, 06/13/2017 - Wed, 10/18/2017"
070-2017,Product Contamination,"OFD Foods, Inc.",NA,"Tue, 06/13/2017 - Tue, 08/08/2017"
069-2017,"Misbranding, Unreported Allergens","Packer Avenue Foods, Inc, Packer Avenue Foods, Inc","Delaware, Maryland, New Jersey, Pennsylvania, Virginia, Delaware, Maryland, New Jersey, Pennsylvania, Virginia","Sat, 06/10/2017 - Wed, 08/09/2017, Sat, 06/10/2017 - Wed, 08/09/2017"
068-2017,"Misbranding, Unreported Allergens","Gourmet Boutique, LLC, Gourmet Boutique, LLC","NA, NA","Fri, 06/09/2017 - Tue, 11/14/2017, Fri, 06/09/2017 - Tue, 11/14/2017"
067-2017,"Misbranding, Unreported Allergens","Tyson Foods Inc., Tyson Foods Inc.","NA, NA","Fri, 06/09/2017 - Thu, 08/17/2017, Fri, 06/09/2017 - Thu, 08/17/2017"
066-2017,Product Contamination,NA,"Michigan, Ohio, Virginia, West Virginia","Fri, 06/09/2017 - Thu, 08/24/2017"
065-2017,"Misbranding, Unreported Allergens","ConAgra Brands, Inc., ConAgra Brands, Inc.","NA, NA","Fri, 06/09/2017 - Tue, 11/28/2017, Fri, 06/09/2017 - Tue, 11/28/2017"
064-2017,"Misbranding, Unreported Allergens","Pork King Sausage, Inc., Pork King Sausage, Inc.","Connecticut, Delaware, Florida, Georgia, Maryland, Massachusetts, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Virginia, Connecticut, Delaware, Florida, Georgia, Maryland, Massachusetts, New Jersey, New York, North Carolina, Pennsylvania, Rhode Island, South Carolina, Virginia","Fri, 06/09/2017 - Mon, 10/16/2017, Fri, 06/09/2017 - Mon, 10/16/2017"
060-2017,"Misbranding, Unreported Allergens","Advance Pierre Foods, Inc., Advance Pierre Foods, Inc.","California, Nebraska, New York, Ohio, Pennsylvania, Texas, California, Nebraska, New York, Ohio, Pennsylvania, Texas","Fri, 06/09/2017 - Thu, 08/24/2017, Fri, 06/09/2017 - Thu, 08/24/2017"
